idna_subject,checker_type,destination,tested_at
status,AVAILABILITY,boysclub18billy.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18bob.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18bob.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18bob.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18bob.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18bob.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18brad-shayne.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18brad-shayne.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18brad-shayne.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18brad-shayne.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18brad-shayne.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18brad.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18brad.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18brad.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18brad.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18brad.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18bruno.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18bruno.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18bruno.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18bruno.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18bruno.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18calvin.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18calvin.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18calvin.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18calvin.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18calvin.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18chez.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18chez.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18chez.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18chez.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18chez.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18cyprian.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18cyprian.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18cyprian.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18cyprian.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18cyprian.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18cytrus.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18cytrus.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18cytrus.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18cytrus.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18cytrus.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18czeslav.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18czeslav.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18czeslav.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18czeslav.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18czeslav.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18danny.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18danny.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18danny.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18danny.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18danny.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18dave-cyprian.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dave-cyprian.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18dave-cyprian.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dave-cyprian.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18dave-cyprian.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18dave-klemens.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dave-klemens.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18dave-klemens.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dave-klemens.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18dave-klemens.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18dave.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dave.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18dave.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dave.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18dave.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18denim.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18denim.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18denim.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18denim.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18denim.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18dex.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dex.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18dex.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dex.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18dex.blogspot.am,2021-01-20 13:43:39.195688
included_at_epoch,AVAILABILITY,boysclub18dima.blogspot.am,2021-01-20 13:43:39.195688
included_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dima.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_epoch,AVAILABILITY,boysclub18dima.blogspot.am,2021-01-20 13:43:39.195688
last_retested_at_iso: 2020-06-29T00:13,AVAILABILITY,boysclub18dima.blogspot.am,2021-01-20 13:43:39.195688
status,AVAILABILITY,boysclub18dima.blogspot.am,2021-01-20 13:43:39.195688
